Date,Open,High,Low,Close,Adj Close,Volume
2019-06-12,131.399994,131.970001,130.710007,131.490005,125.401428,17092500
2019-06-13,131.979996,133.000000,131.559998,132.320007,126.193047,17200800
2019-06-14,132.259995,133.789993,131.639999,132.449997,126.316956,17821700
2019-06-17,132.630005,133.729996,132.529999,132.850006,126.698494,14517800
2019-06-18,134.190002,135.240005,133.570007,135.160004,128.901489,25934500
2019-06-19,135.000000,135.929993,133.809998,135.690002,129.406982,23744400
2019-06-20,137.449997,137.660004,135.720001,136.949997,130.608597,33042600
2019-06-21,136.580002,137.729996,136.460007,136.970001,130.627670,36727900
2019-06-24,137.000000,138.399994,137.000000,137.779999,131.400208,20628800
2019-06-25,137.250000,137.589996,132.729996,133.429993,127.251579,33327400
2019-06-26,134.350006,135.740005,133.600006,133.929993,127.728439,23657700
2019-06-27,134.139999,134.710007,133.509995,134.149994,127.938286,16557500
2019-06-28,134.570007,134.600006,133.160004,133.960007,127.757080,30043000
2019-07-01,136.630005,136.699997,134.970001,135.679993,129.397385,22613500
2019-07-02,136.119995,136.589996,135.339996,136.580002,130.255737,15237800
2019-07-03,136.800003,137.740005,136.289993,137.460007,131.095062,13629300
2019-07-05,135.940002,137.330002,135.720001,137.059998,130.713562,18141100
2019-07-08,136.399994,137.100006,135.369995,136.960007,130.618179,16779700
2019-07-09,136.000000,136.970001,135.800003,136.460007,130.141312,19953100
2019-07-10,137.130005,138.580002,137.020004,137.850006,131.466965,24204400
2019-07-11,138.199997,139.220001,137.869995,138.399994,131.991470,22327900
2019-07-12,138.850006,139.130005,138.009995,138.899994,132.468353,18936800
2019-07-15,139.440002,139.539993,138.460007,138.899994,132.468353,16651500
2019-07-16,138.960007,139.050003,136.520004,137.080002,130.732590,22726100
2019-07-17,137.699997,137.929993,136.220001,136.270004,129.960114,20211000
2019-07-18,135.550003,136.619995,134.669998,136.419998,130.103134,30381800
2019-07-19,140.220001,140.669998,136.449997,136.619995,130.293915,48992400
2019-07-22,137.410004,139.190002,137.330002,138.429993,132.020081,25074900
2019-07-23,139.759995,139.990005,138.029999,139.289993,132.840271,18034600
2019-07-24,138.899994,140.740005,138.850006,140.720001,134.204056,20738300
2019-07-25,140.429993,140.610001,139.320007,140.190002,133.698608,18356900
2019-07-26,140.369995,141.679993,140.300003,141.339996,134.795349,19037600
2019-07-29,141.500000,141.509995,139.369995,141.029999,134.499680,16605900
2019-07-30,140.139999,141.220001,139.800003,140.350006,133.851181,16846500
2019-07-31,140.330002,140.490005,135.080002,136.270004,129.960114,38598800
2019-08-01,137.000000,140.940002,136.929993,138.059998,131.667206,40557500
2019-08-02,138.089996,138.320007,135.259995,136.899994,130.560913,30791600
2019-08-05,133.300003,133.929993,130.779999,132.210007,126.088120,42749600
2019-08-06,133.800003,135.679993,133.210007,134.690002,128.453247,32696700
2019-08-07,133.789993,135.649994,131.830002,135.279999,129.015945,33414500
2019-08-08,136.600006,138.990005,135.929993,138.889999,132.458786,27496500
2019-08-09,138.610001,139.380005,136.460007,137.710007,131.333435,23466700
2019-08-12,137.070007,137.860001,135.240005,135.789993,129.502304,20484300
2019-08-13,136.050003,138.800003,135.000000,138.600006,132.182266,25154600
2019-08-14,136.360001,136.919998,133.669998,133.979996,128.201614,32527300
2019-08-15,134.389999,134.580002,132.250000,133.679993,127.914581,28074400
2019-08-16,134.880005,136.460007,134.720001,136.130005,130.258896,24449100
2019-08-19,137.850006,138.550003,136.889999,138.410004,132.440567,24355700
2019-08-20,138.210007,138.710007,137.240005,137.259995,131.340179,21170800
2019-08-21,138.550003,139.490005,138.000000,138.789993,132.804199,14970300
2019-08-22,138.660004,139.199997,136.289993,137.779999,131.837738,18697000
2019-08-23,137.190002,138.350006,132.800003,133.389999,127.637085,38508600
2019-08-26,134.990005,135.559998,133.899994,135.449997,129.608215,20312600
2019-08-27,136.389999,136.720001,134.660004,135.740005,129.885712,23102100
2019-08-28,134.880005,135.759995,133.550003,135.559998,129.713486,17393300
2019-08-29,137.250000,138.440002,136.910004,138.119995,132.163071,20168700
2019-08-30,139.149994,139.179993,136.270004,137.860001,131.914322,23940100
2019-09-03,136.610001,137.199997,135.699997,136.039993,130.172775,18869300
2019-09-04,137.300003,137.690002,136.479996,137.630005,131.694183,17995900
2019-09-05,139.110001,140.380005,138.759995,140.050003,134.009827,26101800
2019-09-06,140.029999,140.179993,138.199997,139.100006,133.100815,20824500
2019-09-09,139.589996,139.750000,136.460007,137.520004,131.588974,25773900
2019-09-10,136.800003,136.889999,134.509995,136.080002,130.211075,28903400
2019-09-11,135.910004,136.270004,135.089996,136.119995,130.249344,24726100
2019-09-12,137.850006,138.419998,136.869995,137.520004,131.588974,27010000
2019-09-13,137.779999,138.059998,136.570007,137.320007,131.397552,23363100
2019-09-16,135.830002,136.699997,135.660004,136.330002,130.450287,16731400
2019-09-17,136.960007,137.520004,136.429993,137.389999,131.464554,17814200
2019-09-18,137.360001,138.669998,136.529999,138.520004,132.545822,23982100
2019-09-19,140.300003,142.369995,140.070007,141.070007,134.985825,35772100
2019-09-20,141.009995,141.649994,138.250000,139.440002,133.426147,39167300
2019-09-23,139.229996,139.630005,138.440002,139.139999,133.139084,17139300
2019-09-24,140.360001,140.690002,136.880005,137.380005,131.455002,29773200
2019-09-25,137.500000,139.960007,136.029999,139.360001,133.349579,21382000
